Identifier,Place of Publication,Date of Publication,Publisher,Title,Author
806076,London,1814,S. A. Oddy,"Poems. [With plates after W. M. Craig, and a portrait.]: Smaller Collections","Cowper, William"
806097,London,1820,Thomas Kelly,"Poems. [With plates after W. M. Craig, and a portrait.]: Smaller Collections","COWPER, William - the Poet"
806129,London,1841,Tilt & Bogue,"Poems ... With a biographical and critical introduction by the Rev. Thomas Dale, and seventy-five illustrations, engraved by J. Orrin Smith, from drawings by John Gilbert: Smaller Collections","Cowper, William"
806147,Edinburgh,1854,James Nichol,"The Poetical Works of William Cowper. With life, critical dissertation, and explanatory notes, by the Rev. George Gilfillan: Smaller Collections","COWPER, William - the Poet"
806158,London,1859,W. Kent & Co.,"Poems ... With a biographical and critical introduction, by the Rev. Thomas Dale: and seventy-five illustrations, engraved by J. Orrin Smith, from drawings by John Gilbert: Smaller Collections","Cowper, William"
806194,London,1881,"Ward, Lock & Co.","The Poetical Works of William Cowper. Edited, with a critical memoir, by William Michael Rossetti. Illustrated by Thomas Seccombe. [With a portrait.]: Smaller Collections","COWPER, William - the Poet"
806280,London,1868,"Longmans, Green & Co.",[The Diverting History of John Gilpin.]: Single Works. The Diverting History of John Gilpin,"Cowper, William"
806421,London,1810,"Vernor, Hood & Sharpe","[Cowper, illustrated by a series of views, etc. [The text by E. W. Brayley; the plates by J. S. Storer and J. Greig.]]: Appendix","Cowper, William"
807092,London,1821,John Warren; G. & W. B. Whittaker,"Journal of a Residence in the Burmhan Empire, and more particularly at the Court of Amarapoorah. [Edited by H. C. M. Cox.] [With plates.]","COX, Hiram."
808305,Basil,1802,James Decker,"[Travels in Switzerland, and in the Country of the Grisons ... The third edition.]","COXE, William - Archdeacon of Wiltshire"
808795,Canterbury,1802,W. Bristow,"The Margate Hoy, which was stranded on Sunday morning, the 7th February, 1802, a poem. To which is affixed a sketch of the life and experience of Mr. George Bone, of Margate, one of the passengers who was drowned ... The second edition","COZENS, Zechariah."
808915,London,1817,Samuel Leigh,"An Historical Account of the Battle of Waterloo ... intended to elucidate the topographical plan, executed by W. B. Craan ... Translated ... with explanatory notes, by Captain Arthur Gore ... Embellished with accurate views of the principal places mentioned in the work","CRAAN, Willem Benjamin."
808919,Haarlem,1888,,"Nieuwe wandelingen door Nederland, met pen en potlood. Door J. Craandijk ... en P. A. Schipperus. [The text by J. Craandijk; the plates by P. A. Schipperus.]","CRAANDIJK, Jacobus."
808922,Haarlem,1884,,"Atlas, etc","CRAANDIJK, Jacobus."
809067,London,1847,John Murray,"The Life and Poetical Works of the Rev. George Crabbe. Edited by his son [George Crabbe] ... With portrait, etc: Works","Crabbe, George"
809166,Norwich,1892,Agas H. Goose,Some Materials for a History of the Parish of Thompson in the County of Norfolk ... Edited with preface and introductory notes by Augustus Jessopp. [With maps and illustrations.],"Crabbe, George"
809281,London,1878,,"A Catalogue of Maps, Plans, and Views of London, Westminster & Southwark. Collected and arranged by Frederick Crace. Edited by his son J. G. Crace","CRACE, John Gregory - of Dulwich"
809310,London,1897,William Heinemann,"Last Studies ... With a poem by Stopford A. Brooke, and an appreciation by Henry James. [With a portrait.]","CRACKANTHORPE, Hubert Montague."
810659,Glasgow,1891,James Maclehose & Sons,"The Elder Park, Govan. An account of the gift of the Elder Park and of the erection and unveiling of the statue of John Elder. With notices of the lives of David Elder and John Elder, and historical sketches of Govan. [With plates, including portraits.]","CRAIG, Archibald - Sir"
811129,Hawick,1898,W. & J. Kennedy,"The Hawick Tradition of 1514: the town's common, flag, and seal, etc. [With plates and a map.]","CRAIG, Matthew Robert Smith - and LAING (Adam)"
811442,Edinburgh,1776,Printed for the Author,Craigmillar Castle. An elegy. [By John Pinkerton.],
811460,London,1849,Charles Knight,"The Pictorial History of England (to the death of George III) ... By G. L. Craik and Charles MacFarlane, assisted by other contributors. [Edited by G. L. Craik.] (Standard edition.)","CRAIK, George Lillie."
811461,London,1850,Wm. S. Orr,"Index ... By H. C. Hamilton: The Pictorial History of England (to the death of George III) ... By G. L. Craik and Charles MacFarlane, assisted by other contributors. [Edited by G. L. Craik.] (Standard edition.)","CRAIK, George Lillie."
811462,London,1855,W. & R. Chambers,"The Pictorial History of England, being a history of the people, as well as a history of the kingdom. [By G. L. Craik and C. MacFarlane.] ... A new edition, revised and extended. (History of the Peace ... 1816-46. By Harriet Martineau.)","CRAIK, George Lillie."
811463,London,1860,W. & R. Chambers,"Complete Chronological Index to the Pictorial History of England ... Based on that prepared by H. C. Hamilton: The Pictorial History of England, etc","CRAIK, George Lillie."
812408,London,1841,Nichols & Son,"A Chronicle of Cranborne, being an account of the ancient town, lordship, and chase of Cranborne ... Collected from original records, etc. [By T. W. W. Smart. With a map.]",
813466,Edinburgh,1857,James Nichol,"The Poetical Works of Richard Crashaw and Quarles' Emblems. With memoirs and critical dissertations, by the Rev. George Gilfillan: Smaller Collections","CRASHAW, Richard."
813666,London,1895,Jarrold & Sons,"Cratfield: a transcript of the accounts of the parish, from A.D. 1490 to A.D. 1642, with notes, by the late Rev. William Holland ... With a brief memoir of the author, by his widow. Edited, with an introduction, by John James Raven. [With a portrait.]",
813835,London,1808,Printed for the Author,"An Authentic Narrative of the Proceedings of the Expedition under the Command of Brigadier-Gen. Craufurd; until its arrival at Monte-Video; with an account of the operations against Buenos Ayres under the command of Lieut.-Gen. Whitelocke. By an Officer of the Expedition [i.e. John Whitelocke]. [With plates, including maps.]","CRAUFURD, Robert."
814136,London,1886,G. J. Parris,"Sidney Cooper's Comic Pantomime, Dick Whittington and his Cat. Christmas, 1886-7","CRAVEN, T. - Esq"
814437,London,1899,Macmillan & Co.,Via Crucis. A romance of the Second Crusade ... Illustrated by Louis Loeb,"CRAWFORD, Francis Marion."
814860,London,1703,John Chantry,"Ovidius Britannicus: or, Love epistles in imitation of Ovid. Being an intreague betwixt two persons of quality. To which are added. Phaon's answer to Sapho and Theseus answer to Ariadne, which are wanting in Ovid's epistle. [With a dedicatory epistle by Charles Gildon.]","CRAWFURD, David."
814864,Paisley,1818,H. Crichton,"[A Genealogical History of the Royal and Illustrious Family of the Stewarts, from the year 1034 to the year 1710 ... To which are prefixed, fisrt [sic], a general description of the Shire of Renfrew ... and, secondly, a deduction of the noble and ancient families, proprietors there for upwards of 400 years, down to the present times, etc.]","CRAWFURD, George - Historian"
814929,enk,1864,George Rutland,A collection of right merrie garlands for North country anglers: Newcastle fishers' garlands: The fisher's garland,
815799,London,1854,Richard Bentley,History of the Ottoman Turks: from the beginning of their empire to the present time. Chiefly founded on Von Hammer. [With plates and maps.],"CREASY, Edward Shepherd - Sir"
816045,Washington,1860,Thomas McGill,"Scenes in the South, and other miscellaneous pieces. [Edited by Mrs. J. R. Creecy.]","CREECY, James R."
816413,London,1791,,"Poetic miscellanies. Written occasionally, and addressed to the author's relatives, and particular friends. By the Rev. J. C. [i.e. James Creighton.]","CREIGHTON, James."
816768,London,1877,Richard Bentley & Son,"An Every-day Heroine. Founded on “Anne Rose”; a domestic story, from the Dutch of J. J. Cremer. By Albert D. Vandam","CREMER, Jacob Jan."
817401,Québec,1884,,"[Voiages du R. P. Emmanuel Crespel, dans le Canada et son naufrage en revenant en France. Mis au jour par le Sr. Louis Crespel, son frère.]","CRESPEL, Emmanuel."
818824,London,1875,Macmillan & Co.,"Hugh Crichton's Romance. By the Author of 'Lady Betty,' 'Hanbury Mills,' &c. [i.e. Christabel R. Coleridge.]","CRICHTON, Hugh."
819454,London,1803,pl. 20. T. Cadell jun. W. Davies,"Scottish Scenery: or, Sketches in verse, descriptive of scenes chiefly in the Highlands of Scotland: accompanied with notes and illustrations; and ornamented with engravings by W. Byrne ... from views painted by G. Walker, etc","CRIRIE, James."
821016,Napoli,1891,,Il Palazzo Cellamare e il Principe di Francavilla: Single Works,"Croce, Benedetto"
821452,Chichester,1874,T. B. Wilmshurst,"The Visitors' Chichester Guide ... New edition: revised, enlarged and continued by William Hayden","CROCKER, Charles - Poet"
821628,London,1896,T. Fisher Unwin,The Grey Man. (With 26 illustrations by Seymour Lucas.) L.P,"CROCKETT, Samuel Rutherford."
821665,London,1899,Harper & Bros.,[The Red Axe. (Illustrations by Frank Richards.)],"CROCKETT, Samuel Rutherford."
821709,Paisley,1893,J. & R. Parlane,Minstrelsy of the Merse. The poets and poetry of Berwickshire. A county anthology ... Preface by Professor John Stuart Blackie,"CROCKETT, William Shillinglaw."
821831,York,1868,Ledyard Bill,The Military and Civil History of Connecticut during the War of 1861-65. Comprising a detailed account of the various regiments and batteries ... Illustrated,"CROFFUT, William Augustus - and MORRIS (John Moses)"
821858,London,1852,Chapman & Hall,The Fortunes of Francis Croft. An autobiography. [A novel. By Bayle Saint John.],"CROFT, Francis."
822053,London,1860,Hurst & Blackett,"Lucy Crofton. By the author of “Margaret Maitland” [i.e. Margaret O. Oliphant], etc","CROFTON, Lucy."
822609,London,1818,John Souter,A Tribute to the Memory of Sir Samuel Romilly. [In verse.],"CROKER, Margaret Sarah."
822651,London,1860,William Tegg,"A Walk from London to Fulham ... Revised and edited [with a memoir of the author] by ... T. F. D. Croker ... With additional illustrations, by F. W. Fairholt","CROKER, Thomas Crofton."
823210,London,1889,Hurst & Blackett,"Violet Vyvian, M.F.H","CROMMELIN, Maria Henrietta de la Cherois - and BROWN (James Moray)"
823754,London,1661,,"Hells Higher Court of Justice; or, the Triall of the three politick ghosts, viz.: Oliver Cromwell, King of Sweden, and Cardinal Mazarine. [By Henry Nevile?]: Appendix. Miscellaneous","CROMWELL, Oliver - Lord Protector of the Commonwealth of England, Scotland and Ireland"
823832,London,1828,"V. Longman, Rees, Orme, Brown & Green","History and Description of the Parish of Clerkenwell ... With numerous engravings, by J. & H. S. Storer. The historical department by T. Cromwell","Cromwell, Thomas"
824038,Leipzig,1875,,Gustav II. Adolph in Deutschland ... Aus dem Schwedischen von Dr H. Helms. [A translation of ch. 21-25 of “Sveriges historia under Gustaf II Adolphs regering.”],"CRONHOLM, Abraham Peter."
825135,Sunderland,1831,Marwood & Co.,"A Biographical Sketch from the Memoirs of Brass Crosby, Esq. Lord Mayor of London in 1771, containing a history of the great and successful struggle that then took place for the free publication of the parliamentary debates. [Edited by Sir Cuthbert Sharpe.]","CROSBY, Brass - Lord Mayor of London"
825544,London,1874,Robert Hardwicke; J. B. Bunyard,"[The Changed Cross, and other religious poems. [By Lucy P. Wright, afterwards Hobart-Hampden.] New and enlarged edition.]",
825792,London,1882,"Simpkin, Marshall & Co.",Rambles round Old Canterbury ... With illustrations,"CROSS, Francis William - and HALL (John R.) of Canterbury?"
825793,London,1884,"Simpkin, Marshall & Co.",[Rambles round Old Canterbury ... With illustrations.],"CROSS, Francis William - and HALL (John R.) of Canterbury?"
825995,London,1860,Richard Bentley,"The American Pastor in Europe ... Edited, with an introduction and notes, by the Rev. John Cumming","CROSS, Joseph - D.D"
827032,Westminster,1813,Machell Stace,"The History of the Kingdom of Scotland ... to the happy Union of both kingdoms ... in 1602 ... By Richard Burton (N. Crouch). A new edition, with woodcut portraits [of the first part of “The History of the Kingdoms of Scotland and Ireland.”] [Edited by James Caulfield.] L.P","CROUCH, Nathaniel."
827977,London,1869,Hurst & Blackett,"The Crown of a Life. By the author of “Agnes Tremorne” [i.e. Isa Blagden], etc",
828718,London,1891,Truslove & Shirley,"Crozet's Voyage to Tasmania, New Zealand, the Ladrone Islands, and the Philippines in the years 1771-1772. Translated by H. L. Roth ... With a preface and a brief reference to the literature of New Zealand by J. R. Boosé, etc","CROZET, Julien Marie."
828852,Edinburgh,1869,Maclachlan & Stewart,"Mistura Curiosa. Being a higgledy-piggledy of Scotch, Irish, English, Nigger ... comic, serious and sentimental odds & ends of rhymes and fables ... With illustrations by Charles A. Doyle and John Smart","CRUCELLI, F. - pseud. [i.e. James Archibald Sidey.]"
829296,London,1858,"Longman, Brown, Green, Longmans, & Roberts","The Life of Sir John Falstaff. Illustrated by G. Cruikshank. With a biography of the knight from authentic sources by Robert B. Brough: Reproductions of drawings, illustrations, etc., by Cruikshank","Cruikshank, George"
831287,London,1796,G. Kearsley,"A Sermon, preached before the University of Cambridge, by H. W. C-t, D.D., &c. [i.e. H. W. Coulhurst] ... translated, into English metre, by H. W. Hopkins","C-T, H. W. - D.D"
831310,Calcutta,1882,"Thacker, Spink & Co.","[Indica.] Ancient India as described by Ktêsias ... Being a translation of the abridgement of his “Indika” by Phôtios, and of the fragments of that work preserved in other writers, by J. W. McCrindle ... With introduction, notes, and index. Reprinted, with additions, from the “Indian Antiquary,” 1881",
832665,London,1845,Thomas Tegg,"The True Intellectual System of the Universe ... With a Treatise concerning Eternal and Immutable Morality. To which are added, the notes and dissertations of Dr. J. L. Mosheim, translated by John Harrison ... With a copious general index to the whole work","Cudworth, Ralph"
835206,London,1807,"1. pp. 224. Lackington, Allen & Co.","The Exodiad, a poem. By the authors of Calvary (R. Cumberland) and Richard the First [i.e. Sir J. B. Burges, afterwards Lamb]: Single Works other than Plays","Cumberland, Richard"
837496,Leipzig,1829,,"Zwei Jahre in Neu Südwales ... Aus dem Englischen, nach der zweiten und vermehrten Auflage übersetzt und mit Anmerkungen versehen von A. Kaiser: Two Years in New South Wales","CUNNINGHAM, Peter Miller."
837986,Cupar-Fife,1882,A. Westwood & Son,"Charters and other Muniments belonging to the Royal Burgh of Cupar. Translated from the originals by George Home, etc",
838318,London,1859,"Routledge, Warne, & Routledge",The Young Curate; or the Quicksands of life. [By John H. Ashworth.],
838882,London,1871,8. Reeves & Turner,"Curiosities of Street Literature: comprising “cocks,” or “catchpennies,” a large and curious assortment of street-drolleries, squibs, histories, comic tales in prose and verse, etc. [Edited by Charles Hindley.] (Fine toned demy 4to edition.)",
840570,York,1889,Harper & Bros.,"[History of the Origin, Formation, and Adoption of the Constitution of the United States, with notices of its principal framers.]","Curtis, George Ticknor"
840680,Leeds,1875,T. Barmby,"The Story of the Marsden Mayoralty; with sketch of the Mayor's [i.e. Henry Rowland Marsden's] life, etc. [With a portrait.]","CURTIS, J. Sydney."
841308,London,1868,Richard Bentley,The History of Greece ... Translated by A. W. Ward,"CURTIUS, Ernst - Professor"
841320,Ἐν Ἀθηναις,1889,,Ναξος. Ὁμιλια ... Μεταφρασθεισα ... ὑπο Θ. Δαμαλα,"CURTIUS, Ernst - Professor"
841643,London,1809,Samuel Bagster,"The History of the Life and Reign of Alexander the Great ... Translated [by P. Pratt] ... With supplements [of J. Freinsheim], notes, and a map: Historia Alexandri Magni. English","CURTIUS RUFUS, Quintus."
841917,Plaistow,1892,H. Parker,"[Old Plaistow. A paper read at the Balaam Street Schools, Plaistow ... Illustrated by Spedding Curwen. With an appendix by the Rev. R. W. B. Marsh. [With illustrations.]]","CURWEN, John Spencer."
842820,London,1885,"Sampson Low, Marston, Searle, & Rivington","“Boots and Saddles”; or, Life in Dakota with General Custer","CUSTER, Elizabeth Bacon."
842822,London,1890,Harper & Bros.,Following the Guidon ... Illustrated. [On George A. Custer and the Washita campaign of 1868-69. With a portrait.],"CUSTER, Elizabeth Bacon."
842824,London,1888,"Sampson Low, Marston, Searle, & Rivington","Tenting on the Plains; or, General Custer in Kansas and Texas. [With illustrations, including portraits.]","CUSTER, Elizabeth Bacon."
843728,Gent,1897,,Toponymische studie over de oude en nieuwere plaatsnamen der gemeente Bilsen. [With a map.],"CUVELIER, Jozef - and HUYSMANS (Camiel)"
843882,Edinburgh,1813,William Blackwood,"Essay on the Theory of the Earth. Translated ... by Robert Kerr ... With mineralogical notes, and an account of Cuvier's geological discoveries, by Professor Jameson: Discours sur les révolutions de la surface du globe, et sur les changemens qu'elles ont produits dans le régne animal. Troisième édition française","Cuvier, Georges - baron"
843884,Edinburgh,1817,William Blackwood,"[Essay on the Theory of the Earth. Translated ... by Robert Kerr ... With mineralogical notes, and an account of Cuvier's geological discoveries, by Professor Jameson.]: Discours sur les révolutions de la surface du globe, et sur les changemens qu'elles ont produits dans le régne animal. Troisième édition française","Cuvier, Georges - baron"
843885,York,1818,Kirk & Mercein,"[Essay on the Theory of the Earth. Translated ... by Robert Kerr ... With mineralogical notes, and an account of Cuvier's geological discoveries, by Professor Jameson.]: Discours sur les révolutions de la surface du globe, et sur les changemens qu'elles ont produits dans le régne animal. Troisième édition française","Cuvier, Georges - baron"
843887,Edinburgh,1827,William Blackwood,"[Essay on the Theory of the Earth. Translated ... by Robert Kerr ... With mineralogical notes, and an account of Cuvier's geological discoveries, by Professor Jameson.]: Discours sur les révolutions de la surface du globe, et sur les changemens qu'elles ont produits dans le régne animal. Troisième édition française","Cuvier, Georges - baron"
844515,London,1795,canto 37-60. Messieurs White,The Travels of Cyllineus. A poem. [By Charles Dickinson.],
847635,London,1887,E. W. Allen,"This Weary World. A poem. By the author of “Albion's Fall,” etc. [Signed: D., i.e. John Henry Davies, Rector of Mount Bures, Essex.]",
848083,Grahamstown,1881,"Richards, Slater & Co.","The Transvaal in 1876. Notes made by a resident in the republic previous to the annexation, with extracts from the diary of the late Hon'ble William Napier, while travelling between the Lydenberg gold-fields and Delagoa Bay. [By] D. M. D. [i.e. Sir Drummond M. Dunbar.]","D., D. M."
848246,Paris,1817,,"Histoire des deux Chambres de Buonaparte, depuis le 3 juin jusqu'au 7 juillet 1815; contenant le détail exact de leurs séances ... Deuxième édition, revue et augmentée du Projet de Constitution de la Chambre des Représentans ... Par F. T. D. [i.e. François T. Delbare.]","D., F. T."
848282,Edinburgh,1856,W. & R. Chambers,"Pictorial History of the Russian War, 1854-5-6. With maps, plans, and wood engravings. [The preface signed: G. D., i.e. George Dodd.]","D., G."
848300,Carnoustie,1892,Alexander Reid,"Carnoustie and its Neighbourhood. With eight illustrations and a map, etc. [The preface signed: G. C. D., i.e. George C. Dickson.]","D., G. C."
848521,Charleston,1845,Burges & James,"The Political Annals of South-Carolina. By a citizen. [Signed: J. D., i.e. James D. B. De Bow.] Prepared for the Southern Quarterly Review","D., J."
848812,Kelso,1802,James Ballantyne,"[Notes of a Journey from Berne to England, through France. Made in the year 1796. By M. D. [i.e. Mrs. M. Douglas.]]","D., M."
848917,London,1845,T. C. Newby,"Scenes on the Shores of the Atlantic. By the author of “Souvenirs of a Summer in Germany,” etc. [The preface signed: M. F. D., i.e. Maria F. Dickson, afterwards Smith.]","D., M. F."
848933,Edinburgh,1852,Thomas Constable & Co.,Art and Nature under an Italian Sky. By M. J. M. D. [i.e. Margaret J. M. Dunbar.],"D., M. J. M."
848965,London,1870,,"[An Antidote against Melancholy: made up in pills. Compounded of witty ballads, jovial songs, and merry catches. [The address to the reader signed: N. D.]]","D., N."
848971,Москва,1890,,"Государства и народы Балканскаго полуострова, ихъ прошедшее, настоящее и будущее и болгарская кривда ... [By] Н. Д. [i.e. N. N. Durnovo.]","D., N."
849107,London,1843,G. W. Nickisson,"A Visit to the Wild West, or, a Sketch of the Emerald Isle, picturesque and political, during the last autumn. By an English traveller. [Signed: R. D., i.e. Ralph Disraeli.]","D., R."
849211,London,1678,James Magnes & Richard Bentley,The Fool turn'd Critick: a comedy ... By T. D. Gent. [i.e. Thomas D'Urfey.],"D., T. - Gent"
849218,London,1812,Harding & Wright,"Bibliography: a poem. In six books. Book 1. [The advertisement signed: T. F. D., i.e. Thomas F. Dibdin.]","D., T. F."
849343,London,1863,Hurst & Blackett,A Lady's Visit to Manilla and Japan. By Anna D'A. [i.e. Anna D'Almeida.],"D'A., Anna."
850150,London,1866,Trübner & Co.,"The European and Asiatic Races. Observations on the paper read by John Crawfurd ... before the Ethnological Society on February 14th 1866, etc",
850211,Pottsville,1866,Benjamin Bannan,"Coal, Iron, and Oil; or, the Practical American miner. A plain and popular work on our mines and mineral resources ... With numerous maps and engravings, etc","DADDOW, Samuel Harries - and BANNAN (Benjamin)"
850415,London,1899,Swan Sonnenschein & Co.,[Lehrbuch der Geschichte des Schweizervolkes.] A Short History of Switzerland ... Translated by E. Salisbury. With ... maps,"DAENDLIKER, Karl."
850416,Paris,1879,,Histoire du peuple suisse ... Traduit ... par Mme Jules Favre ... et précédé d'une introduction de M. Jules Favre,"DAENDLIKER, Karl."
850914,London,1886,Macmillan & Co.,Dagonet the Jester. [By Malcolm Macmillan.],
851697,London,1844,"Longman, Brown, Green & Longmans",The History of the English Revolution ... Translated ... by H. Evans Lloyd,"DAHLMANN, Friedrich Christoph."
851950,München,1861,,"Die Könige der Germanen. Das Wesen des ältesten Königthums der germanischen Stämme und seine Geschichte bis auf die Feudalzeit, etc","DAHN, Ludwig Julius Sophus Felix."
852316,London,1884,Richard Bentley & Son,"The Dailys of Sodden Fen. By the author of Four Crotchets to a Bar,' etc. [i.e. Susanna C. Venn.]",
852644,London,1885,James Nisbet & Co.,Daisy Plains. By the author of “The Wide Wide World” [i.e. Susan B. Warner]. [The editor's preface signed: Anna B. Warner.],
854720,Bristol,1834,Mirror Office,"Antiquities of Bristow in the Middle Centuries; including the topography by William Wyrcestre, and the life of William Canynges","DALLAWAY, James - B.M., Prebendary of Ferring"
854731,London,1837,Privately printed,Some Account of the Cistertian Priory of Ripa Mola. In a letter to the secretary of the Antiq. Soc. By J. D. (James Dallaway.) [Edited by Nicholas Carlisle.],"DALLAWAY, James - B.M., Prebendary of Ferring"
854897,Strigonii,1867,,"Acta politica et diplomatica Nicolai Dallos ... Ferdinandi II Imperatoris Commissarii in tractatibus, qui cum Galliae Regis et Transsylvaniae Principis legatis habiti sunt 1618-1626 ... Eruta per Dr Vilhelmum Frankl et Carolum Ráth. (Dallos Miklós ... politikai és diplomatiai iratai.)","DALLOS, Miklós - successively Bishop of Waitzen and of Raab"
855362,London,1830,Thomas & William Boone,"Memoir, written by General Sir Hew Dalrymple, Bart. of his proceedings as connected with the affairs of Spain, and the commencement of the Peninsular War. [Edited by Sir Adolphus J. Dalrymple.]","DALRYMPLE, Hew Whiteford - Sir, Bart"
855792,Dublin,1864,"Hodges, Smith & Co.","The History of Dundalk, and its environs; from the earliest period to the present time; with memoirs of its eminent men. [With plates and maps.]","D'ALTON, John - Barrister-at-Law, and O'FLANAGAN (James Roderick)"
856643,London,1895,Hopwood & Crew,The Shop-Girl. An entirely new and original musical farce. Words by H. J. W. Dam. Music by I. Caryll. Additional numbers by A. Ross and L. Monckton. [Words of songs only.],"DAM, Henry Jackson Wells."
857942,York,1883,D. Appleton & Co.,Fifty Perfect Poems. Selected and edited by C. A. Dana and Rossiter Johnson. With seventy illustrations,"DANA, Charles Anderson - Editor of the New York “Sun.” and JOHNSON (Rossiter)"
857971,York,1877,John Wiley & Sons,"A Text-Book of Mineralogy. With an extended treatise on crystallography and physical mineralogy. By E. S. Dana ... on the plan and with the co-operation of Professor James D. Dana, etc","DANA, Edward Salisbury."
858318,London,1893,Methuen & Co.,The Dance of the Hours. By the author of Vèra [i.e. Charlotte L. H. Dempster],
858587,London,1891,Chappell & Co.,"A New Indian Comic Opera in two acts. Entitled the Nautch Girl: or, the Rajah of Chutneypore. Libretto by George Dance. Music by Edward Solomon. With lyrics by George Dance and Frank Desprez","DANCE, George - Sir, Dramatic Writer"
858918,London,1851,"Longman, Brown, Green, & Longmans","The Italian Volunteers and Lombard Rifle Brigade, being an authentic narrative of the organization, adventures, and final disbanding of these corps in 1848-49 ... Translated from the edition published at Turin in 1849. To which are added original letters and important historical documents relating to the late Italian movement of reform. [With maps.]","DANDOLO, Emilio."
860068,London,1829,James Webb Southgate,"Garrick in the Green Room! A biographical and critical analysis of a picture, painted by William Hogarth and engraved by William Ward. [With a key to the picture.] MS. notes [by G. Daniel]","DANIEL, George - of Islington"
860149,Leipzig,1899,,"Illustriertes kleineres Handbuch der Geographie ... Dritte, verbesserte Auflage bearbeitet von Dr. W. Wolkenhauer","DANIEL, Hermann Adalbert."
860150,Halle,1885,,"Leitfaden für den Unterricht in der Geographie ... 151. verbesserte Auflage, herausgegeben von Dr. B. Volz","DANIEL, Hermann Adalbert."
860471,London,1885,Printed for private circulation,"The Complete Works in Verse and Prose of Samuel Daniel. Edited, with memorial-introduction and a glossarial index embracing notes and illustrations. By the Rev. Alexander B. Grosart. [With plates, including a portrait and facsimile titlepages.]: Works","DANIEL, Samuel - Poet and Historian"
860727,Truro,1894,Netherton & Worth,"A Compendium of the History and Geography of Cornwall ... Third edition, with corrections and large additions, by J. H. Collins. [With a map.]","DANIELL, John Jeremiah."
860730,Chippenham,1894,R. F. Houlston,"The History of Chippenham ... Compiled from researches by the author, and from the collections of the late Rev. Canon Jackson","DANIELL, John Jeremiah."
861385,Helsingfors,1897,,[Suomen sota ja Suomen sotilaat vuosina 1808-1809.] Finska kriget och Finlands krigare 1808-1809 ... Från finskan af W. Söderhjelm. [With maps.],"DANIELSON, Johan Richard."
861712,Wilno,1862,,"Skarbiec diplomatów papiezkich, cesarskich, królewskich, książęcych, uchwał narodowych ... posługujących do krytycznego wyjaśnienia dziejów Litwy, Rusi Litewskiéj i ościennych ich krajów. Zebrał i w treści ogłosił I. Danilowicz. Tom II. Z pozgonnych rękopismów ... wydał J. Sidorowicz","DANIŁOWICZ, Ignacy."
862088,Torino,1891,,"Storia artistica illustrata del santuario di Mondovì, presso Vicoforte. 1595-1891","DANNA, Casimiro - and CHIECHIO (G. C.)"
864154,London,1842,Moyes & Barclay,"Journal of a Steam Voyage down the Danube to Constantinople, and thence by way of Malta and Marseilles to England. [By Robert Snow. With plates.]",
864155,London,1847,Richard Bentley,"Letters from the Danube. By the author of “Gisella” [i.e. John Palgrave Simpson], etc",
864226,London,1889,Richard Bentley & Son,Sir Charles Danvers. By the author of “The Danvers Jewels” [i.e. Mary Cholmondeley],"DANVERS, Charles - Sir"
864227,London,1890,Richard Bentley & Son,[Sir Charles Danvers. By the author of “The Danvers Jewels” [i.e. Mary Cholmondeley].],"DANVERS, Charles - Sir"
864718,ἐν Ἀθηναις,1836,,"Ἀκριβης περιγραφη της Κρητης, μεταφρασθεισα ἀπο την φλαμαντικην εἰς την γαλλικην διαλεκτον ... παρα του Δ. Ο. Δαπερ ... ἐν ̔ͅη προσετεθη και το νομισματολογιον αὐτης ἐκ των του Μιοννετου. [An extract from Dapper's “Naukeurige beschryving der eilanden in de Archipel der Middelantsche Zee.”] Μεταφρασθεντα και ἐκδοθεντα παρα του Μ. Βερναρδου του Κρητος","DAPPER, Olfert."
865153,Hartford,1833,Edward Hopkins,"A New Gazetteer of the United States of America, etc","DARBY, William - Surveyor, and DWIGHT (Theodore) the Younger"
865515,Nashville,1859,Cameron & Co.,Description of the State Capitol of Tennessee. Published by G. Dardis. [Stated in a MS. note to be “prepared by John Meigs.”],"DARDIS, George."
866126,London,1892,"Smith, Elder & Co.",Dark. A tale of the Down country. [By Henrietta M. Batson.],
867258,London,1873,John Maxwell & Co.,"Milly Darrell, and other tales. By the author of “Lady Audley's Secret” [i.e. Mary Elizabeth Braddon], etc","DARREL, Milly."
867481,Dartford,1846,Privately printed for the Author,"A Short Report of Proceedings of the Committee appointed to decide on the Competency of the Organist of Dartford, to fulfil the duties of his situation. October, 1846. [In verse. By Joseph Jardine.]",
867581,London,1845,Jeremia How,"A Brief Narrative of the Shipwreck of the Transport ""Premier,"" near the mouth of the river St. Lawrence, on the 4th November, 1843, having on board the head-quarter wing of the second battalion of the First or Royal Regiment ... Illustrated with several engravings from sketches made on the spot ... The drawings in lithotint by J. A. Hammersley","DARTNELL, George R."
868096,Napoli,1872,,"Viaggio di un naturalista intorno al mondo ... traduzione ... del professore Michele Lessona, etc: Single Works. Journal of Researches into the Geology and Natural History of the Various Countries visited by H.M.S. Beagle, 1832-1836","Darwin, Charles"
869515,Paris,1892,,Choiseul et la France d'outre-mer après le traité de Paris. Étude sur la politique coloniale au XVIIIe siècle. Avec un appendice sur les origines de la question de Terre-Neuve,"DAUBIGNY, Eugène Théodore."
