Identifier,Place of Publication,Date of Publication,Publisher,Title,Author
20960,London,1853,Addey & Co.,"The Diary and Houres of the Ladye Adolie, a faythfulle childe. 1552. [Edited, or rather written, by Lady C. M. Pepys.]",
21119,London,1874,Chapman & Hall,"Lays of Modern Oxford, by Adon. Illustrated by M. E. Edwards, F. Lockwood, and the author",
21430,London,1790,J. Johnson,"Adriano; or, the first of June, a poem. By the author of The Village Curate [i.e. James Hurdis]",
21782,London,1817,J. Johnston,"The Adventures of a Post Captain. By a Naval Officer. [In verse.] With ... engravings, by Mr. Williams",
22060,Sceaux,1883,,"Histoire de la Ville de Sceaux depuis son origine jusqu'à nos jours ... Sous la direction de ... M. Charaire ... Ouvrage illustré de gravures, etc","ADVIELLE, Victor."
22105,London,1795,J. Debrett,"The National Advocates, a poem. Affectionately inscribed to the Honourable Thomas Erskine and Vicary Gibbs, Esquire [in praise of their exertions in defence of Thomas Hardy, Horne Tooke and others]. [By William Hayley.]",
22278,Coblenz,1865,,Das Hochgebirge von Grindelwald. Naturbilder aus der schweizerischen Alpenwelt von C. Aeby und E. v. Fellenberg ... und Gerwer. Mit ... einer Karte in Farbendruck von R. Leuzinger,"AEBY, Christoph."
23565,London,1877,Chatto & Windus,Prometheus the Fire-giver. An attempted restoration of the lost first part of the Prometheian Trilogy of Æschylus. [By William Cox Bennett.]: Appendix,Aeschylus.
24344,Leipzig,1853,,"Cosmographiam Æthici Istrici ab Hieronymo ex Graeco in Latinum breviarium redactam ... separato libello expressam primum edidit Henricus Wuttke. Accedunt duae tabulae, etc",
24878,London,1886,Hodder & Stoughton,"The Children of Africa. Written for all English-speaking children. By ... the author of “The Children of India,” etc. [i.e. A. W. Marston]",
27797,London,1834,William W. Clowes,"Prospectus of an Expedition into the Interior of South Africa from Dalagoa Bay, etc. [By W. D. Cooley.]: General Appendix",
28615,Stockholm,1852,,"Försök till en statsekonomisk statistik öfver Sverige. (Den statsekonomiska afdelningen af C. A. Agardh, den statistiska af C. E. Ljungberg.)","Agardh, C. A. (Carl Adolf)"
28630,Carlstad,1857,,Inledning till Sveriges fysiska geografi. Jemte upplysningar rörande ankologisk och fysisk karta öfver Sverige,"Agardh, C. A. (Carl Adolf)"
28758,Boston,1866,Ticknor & Fields; J. R. Osgood,"Geological Sketches. [The preface signed: E. C. A., i.e. Elizabeth C. Agassiz. With a portrait.]","Agassiz, Louis"
28784,Paris,1869,,"Voyage au Brésil, traduit de l'anglais ... par F. Vogeli. Ouvrage illustré, etc","Agassiz, Louis"
28873,London,1853,Chapman & Hall,"Agatha's Husband. A novel. By the author of “Olive,” etc. [i.e. D. M. Mulock, afterwards Craik.]",
28876,London,1875,Macillan & Co.,"[Agatha's Husband. A novel. By the author of “Olive,” etc. [i.e. D. M. Mulock, afterwards Craik.]]",
29031,London,1827,William Carpenter,The Age Reviewed: a satire. [In verse. By Robert Montgomery.],
29032,London,1828,W. C. Wright,[The Age Reviewed: a satire. [In verse. By Robert Montgomery.]],
29285,London,1876,Chapman & Hall,Through the Ages. A psychological romance. By the author of “The Honeymoon” [i.e. the Duke de Medina Pomar],
29505,A. Millar,1758,London,"Agis: a tragedy, etc. [In verse. By John Home.]",
29844,York,1846,"Leavitt, Trow & Co.",The Gem of the Season: with twenty plates by Sartain. Edited by J. H. Agnew,"AGNEW, John Holmes."
30269,Allahabad,1880,,"Mathurá: a District Memoir. By F. S. Growse ... Second edition. Illustrated, revised and enlarged: Miscellaneous Official Publications",
31858,London,1823,G. & W. B. Whittaker,"Ahasuerus, the Wanderer; a dramatic legend [in verse] ... By the author of Sketches in Hindoostan, and other poems [i.e. Thomas Medwin]",
32896,Stuttgart,1887,,Skandinavische Hof- und Staatsgeschichten des neunzehnten Jahrhunderts. Nach den schwedischen Quellen des Dr. A. Ahnfelt von H. Martens,"AHNFELT, Arvid."
33745,London,1825,Longman & Co.,The Works of Anna Lætitia Barbauld. With a memoir by Lucy Aikin,"AIKIN, afterwards BARBAULD, Anna Laetitia."
33833,D. Appleton & Co,1850,New York,The Vicar of Wakefield ... Illustrated with numerous engravings. With an account of the author's life and writings by J. Aikin: The Vicar of Wakefield,"Goldsmith, Oliver"
33881,London,1810,R. H. Evans,[Essays on song-writing: with a collection of such English songs as are most eminent for poetical merit. To which are added some original pieces. [By J. Aikin.]],"AIKIN, John - M.D"
